time	V(1ni)	V(vout)
2.248294424729976e-003	1.999887e+000	1.450486e+000
2.253177237229976e-003	1.999599e+000	1.457185e+000
2.258060049729976e-003	1.997429e+000	1.463186e+000
2.272708487229976e-003	1.979659e+000	1.476636e+000
2.277591299729976e-003	1.969999e+000	1.479609e+000
2.282474112229975e-003	1.958486e+000	1.481888e+000
2.287356924729975e-003	1.945130e+000	1.483536e+000
2.292239737229975e-003	1.929942e+000	1.484630e+000
2.297122549729975e-003	1.912939e+000	1.485255e+000
2.302005362229975e-003	1.894135e+000	1.485498e+000
2.306888174729975e-003	1.873548e+000	1.485442e+000
2.311770987229975e-003	1.851198e+000	1.485163e+000
2.316653799729975e-003	1.827106e+000	1.484725e+000
2.321536612229975e-003	1.801294e+000	1.484178e+000
2.326419424729974e-003	1.773786e+000	1.483559e+000
2.331302237229974e-003	1.744610e+000	1.482895e+000
2.336185049729974e-003	1.713791e+000	1.482205e+000
2.341067862229974e-003	1.681360e+000	1.481498e+000
2.345950674729974e-003	1.647345e+000	1.480783e+000
2.350833487229974e-003	1.611781e+000	1.480064e+000
2.355716299729974e-003	1.574700e+000	1.479342e+000
2.360599112229974e-003	1.536136e+000	1.478619e+000
2.365481924729974e-003	1.496127e+000	1.477896e+000
2.370364737229974e-003	1.454710e+000	1.477173e+000
2.385013174729973e-003	1.322405e+000	1.475005e+000
2.395476344372830e-003	1.219752e+000	1.473459e+000
2.405939514015687e-003	1.113034e+000	1.471914e+000
2.416402683658544e-003	1.002250e+000	1.470370e+000
2.426865853301401e-003	8.874012e-001	1.468829e+000
2.437329022944258e-003	7.684871e-001	1.467288e+000
2.447792192587115e-003	6.455077e-001	1.465750e+000
2.458255362229972e-003	5.184631e-001	1.464213e+000
2.463835719372829e-003	4.502180e-001	1.463394e+000
2.469416076515686e-003	3.816314e-001	1.462576e+000
2.474996433658543e-003	3.127035e-001	1.461758e+000
2.480576790801400e-003	2.434341e-001	1.460940e+000
2.486157147944257e-003	1.738233e-001	1.460123e+000
2.491737505087114e-003	1.038711e-001	1.459306e+000
2.497317862229971e-003	3.357749e-002	1.458490e+000
2.511966299729971e-003	-1.503566e-001	1.456350e+000
2.519639290801399e-003	-2.468389e-001	1.455230e+000
2.527312281872828e-003	-3.422013e-001	1.454111e+000
2.534985272944256e-003	-4.364437e-001	1.452993e+000
2.542658264015684e-003	-5.295662e-001	1.451876e+000
2.550331255087112e-003	-6.215688e-001	1.450760e+000
2.558004246158541e-003	-7.124514e-001	1.449645e+000
2.565677237229969e-003	-8.022141e-001	1.448530e+000
2.578930585444255e-003	-9.540760e-001	1.446608e+000
2.592183933658540e-003	-1.097031e+000	1.444688e+000
2.605437281872826e-003	-1.231080e+000	1.442771e+000
2.618690630087111e-003	-1.356223e+000	1.440857e+000
2.631943978301396e-003	-1.472459e+000	1.438945e+000
2.645197326515682e-003	-1.579789e+000	1.437036e+000
2.658450674729967e-003	-1.678212e+000	1.435130e+000
2.687050005087109e-003	-1.846417e+000	1.431027e+000
2.715649335444252e-003	-1.952531e+000	1.426936e+000
2.744248665801394e-003	-1.996554e+000	1.422859e+000
2.772847996158537e-003	-1.978486e+000	1.418794e+000
2.801447326515679e-003	-1.898327e+000	1.414742e+000
2.830046656872821e-003	-1.756078e+000	1.410703e+000
2.858645987229963e-003	-1.551737e+000	1.406677e+000
2.870504246158534e-003	-1.451881e+000	1.405012e+000
2.882362505087105e-003	-1.345550e+000	1.403348e+000
2.894220764015677e-003	-1.232743e+000	1.401687e+000
2.906079022944248e-003	-1.113462e+000	1.400028e+000
2.917937281872819e-003	-9.877063e-001	1.398371e+000
2.929795540801390e-003	-8.554754e-001	1.396716e+000
2.941653799729961e-003	-7.167695e-001	1.395063e+000
2.948629246158533e-003	-6.338651e-001	1.394092e+000
2.955604692587104e-003	-5.501498e-001	1.393121e+000
2.962580139015675e-003	-4.656237e-001	1.392152e+000
2.969555585444247e-003	-3.802867e-001	1.391182e+000
2.976531031872818e-003	-2.941390e-001	1.390214e+000
2.983506478301389e-003	-2.071804e-001	1.389247e+000
2.990481924729960e-003	-1.194109e-001	1.388280e+000
3.010013174729960e-003	1.258717e-001	1.385576e+000
3.017686165801388e-003	2.224656e-001	1.384516e+000
3.025359156872817e-003	3.179948e-001	1.383456e+000
3.033032147944245e-003	4.124595e-001	1.382397e+000
3.040705139015673e-003	5.058594e-001	1.381339e+000
3.048378130087102e-003	5.981948e-001	1.380282e+000
3.056051121158530e-003	6.894655e-001	1.379226e+000
3.063724112229959e-003	7.796715e-001	1.378170e+000
3.071397103301387e-003	8.680019e-001	1.377116e+000
3.079070094372816e-003	9.538337e-001	1.376062e+000
3.086743085444244e-003	1.037167e+000	1.375009e+000
3.094416076515672e-003	1.118002e+000	1.373957e+000
3.102089067587101e-003	1.196338e+000	1.372905e+000
3.109762058658529e-003	1.272175e+000	1.371855e+000
3.117435049729958e-003	1.345514e+000	1.370805e+000
3.122317862229958e-003	1.390271e+000	1.370138e+000
3.127200674729957e-003	1.433720e+000	1.369471e+000
3.132083487229957e-003	1.475819e+000	1.368806e+000
3.136966299729957e-003	1.516530e+000	1.368143e+000
3.141849112229957e-003	1.555813e+000	1.367484e+000
3.146731924729957e-003	1.593631e+000	1.366836e+000
3.151614737229957e-003	1.629950e+000	1.366206e+000
3.156497549729957e-003	1.664735e+000	1.365615e+000
3.161380362229957e-003	1.697953e+000	1.365097e+000
3.166263174729957e-003	1.729573e+000	1.364709e+000
3.171145987229956e-003	1.759565e+000	1.364547e+000
3.176028799729956e-003	1.787901e+000	1.364744e+000
3.180911612229956e-003	1.814555e+000	1.365477e+000
3.185794424729956e-003	1.839500e+000	1.366939e+000
3.190677237229956e-003	1.862715e+000	1.369313e+000
3.200442862229956e-003	1.903864e+000	1.377249e+000
3.205325674729956e-003	1.921760e+000	1.382833e+000
3.210208487229956e-003	1.937847e+000	1.389369e+000
3.215091299729956e-003	1.952111e+000	1.396688e+000
3.219974112229955e-003	1.964537e+000	1.404581e+000
3.224856924729955e-003	1.975114e+000	1.412828e+000
3.229739737229955e-003	1.983833e+000	1.421213e+000
3.234622549729955e-003	1.990684e+000	1.429532e+000
3.239505362229955e-003	1.995662e+000	1.437607e+000
3.244388174729955e-003	1.998761e+000	1.445281e+000
3.249270987229955e-003	1.999980e+000	1.452426e+000
3.254153799729955e-003	1.999316e+000	1.458941e+000
3.259036612229955e-003	1.996770e+000	1.464753e+000
3.268802237229954e-003	1.986045e+000	1.474115e+000
3.273685049729954e-003	1.977876e+000	1.477654e+000
3.278567862229954e-003	1.967845e+000	1.480464e+000
3.283450674729954e-003	1.955962e+000	1.482595e+000
3.288333487229954e-003	1.942238e+000	1.484113e+000
3.293216299729954e-003	1.926686e+000	1.485097e+000
3.298099112229954e-003	1.909321e+000	1.485631e+000
3.302981924729954e-003	1.890159e+000	1.485802e+000
3.307864737229954e-003	1.869218e+000	1.485693e+000
3.312747549729953e-003	1.846518e+000	1.485375e+000
3.317630362229953e-003	1.822080e+000	1.484910e+000
3.322513174729953e-003	1.795927e+000	1.484344e+000
3.327395987229953e-003	1.768084e+000	1.483714e+000
3.332278799729953e-003	1.738576e+000	1.483043e+000
3.337161612229953e-003	1.707433e+000	1.482348e+000
3.342044424729953e-003	1.674682e+000	1.481640e+000
3.346927237229953e-003	1.640356e+000	1.480923e+000
3.351810049729953e-003	1.604485e+000	1.480203e+000
3.356692862229953e-003	1.567104e+000	1.479481e+000
3.361575674729952e-003	1.528249e+000	1.478758e+000
3.366458487229952e-003	1.487955e+000	1.478034e+000
3.376224112229952e-003	1.403205e+000	1.476588e+000
3.387384826515666e-003	1.298449e+000	1.474937e+000
3.398545540801380e-003	1.188732e+000	1.473288e+000
3.409706255087094e-003	1.074052e+000	1.471640e+000
3.420866969372808e-003	9.544097e-001	1.469994e+000
3.432027683658522e-003	8.298057e-001	1.468350e+000
3.443188397944236e-003	7.002396e-001	1.466708e+000
3.454349112229950e-003	5.657115e-001	1.465067e+000
3.459929469372808e-003	4.979047e-001	1.464248e+000
3.465509826515664e-003	4.296968e-001	1.463429e+000
3.471090183658522e-003	3.610880e-001	1.462610e+000
3.476670540801378e-003	2.920782e-001	1.461792e+000
3.482250897944236e-003	2.226674e-001	1.460975e+000
3.487831255087092e-003	1.528557e-001	1.460157e+000
3.493411612229950e-003	8.264292e-002	1.459341e+000
3.496899335444235e-003	3.878341e-002	1.458831e+000
3.500387058658521e-003	-5.042155e-003	1.458321e+000
3.503874781872807e-003	-4.883378e-002	1.457811e+000
3.507362505087092e-003	-9.259146e-002	1.457301e+000
3.510850228301378e-003	-1.363152e-001	1.456792e+000
3.514337951515663e-003	-1.800050e-001	1.456283e+000
3.517825674729949e-003	-2.236609e-001	1.455773e+000
3.526196210444235e-003	-3.285299e-001	1.454552e+000
3.534566746158520e-003	-4.317896e-001	1.453333e+000
3.542937281872806e-003	-5.334400e-001	1.452114e+000
3.551307817587091e-003	-6.334812e-001	1.450896e+000
3.559678353301377e-003	-7.319130e-001	1.449679e+000
3.568048889015662e-003	-8.287357e-001	1.448464e+000
3.576419424729948e-003	-9.239490e-001	1.447249e+000
3.590370317587090e-003	-1.078140e+000	1.445227e+000
3.604321210444233e-003	-1.221544e+000	1.443209e+000
3.618272103301375e-003	-1.354162e+000	1.441193e+000
3.632222996158518e-003	-1.475993e+000	1.439181e+000
3.646173889015661e-003	-1.587038e+000	1.437171e+000
3.660124781872803e-003	-1.687296e+000	1.435165e+000
3.674075674729946e-003	-1.776767e+000	1.433161e+000
3.700582371158517e-003	-1.903711e+000	1.429364e+000
3.727089067587087e-003	-1.977254e+000	1.425577e+000
3.753595764015658e-003	-1.997397e+000	1.421801e+000
3.780102460444229e-003	-1.964140e+000	1.418037e+000
3.806609156872800e-003	-1.877482e+000	1.414283e+000
3.833115853301371e-003	-1.737424e+000	1.410541e+000
3.859622549729942e-003	-1.543966e+000	1.406810e+000
3.871480808658513e-003	-1.443416e+000	1.405144e+000
3.883339067587084e-003	-1.336447e+000	1.403480e+000
3.895197326515656e-003	-1.223057e+000	1.401819e+000
3.907055585444227e-003	-1.103248e+000	1.400159e+000
3.918913844372798e-003	-9.770183e-001	1.398502e+000
3.930772103301369e-003	-8.443689e-001	1.396847e+000
3.942630362229940e-003	-7.052994e-001	1.395194e+000
3.949605808658512e-003	-6.222143e-001	1.394223e+000
3.956581255087083e-003	-5.383413e-001	1.393252e+000
3.963556701515655e-003	-4.536804e-001	1.392283e+000
3.970532147944225e-003	-3.682318e-001	1.391313e+000
3.977507594372797e-003	-2.819953e-001	1.390345e+000
3.984483040801368e-003	-1.949710e-001	1.389377e+000
3.991458487229939e-003	-1.071588e-001	1.388410e+000
3.994946210444225e-003	-6.331893e-002	1.387927e+000
3.998433933658511e-003	-1.950121e-002	1.387444e+000
4.001921656872796e-003	2.429435e-002	1.386961e+000
4.005409380087082e-003	6.806774e-002	1.386479e+000
4.008897103301367e-003	1.118190e-001	1.385996e+000
4.012384826515654e-003	1.555480e-001	1.385514e+000
4.015872549729939e-003	1.992549e-001	1.385032e+000
4.024243085444224e-003	3.042964e-001	1.383875e+000
4.032613621158510e-003	4.077934e-001	1.382720e+000
4.040984156872795e-003	5.097461e-001	1.381565e+000
4.049354692587081e-003	6.101543e-001	1.380412e+000
4.057725228301366e-003	7.090181e-001	1.379260e+000
4.066095764015652e-003	8.063374e-001	1.378108e+000
4.074466299729938e-003	9.021124e-001	1.376958e+000
4.080744201515652e-003	9.720567e-001	1.376095e+000
4.087022103301366e-003	1.040232e+000	1.375234e+000
4.093300005087080e-003	1.106638e+000	1.374373e+000
4.099577906872794e-003	1.171274e+000	1.373512e+000
4.105855808658509e-003	1.234142e+000	1.372652e+000
4.112133710444222e-003	1.295240e+000	1.371793e+000
4.118411612229937e-003	1.354568e+000	1.370934e+000
